ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_AR034,LAACA_AR035,LAACA_AR036,LAACA_AR037,LAACA_AR038,LAACA_AR039,LAACA_AR040,LAACA_AR041,LAACA_AR042,LAACA_AR043,LAACA_AR044,LAACA_AR045,LAACA_AR013,LAACA_AR046,LAACA_AR047,LAACA_AR048,LAACA_AR014,LAACA_AR015,LAACA_AR016,LAACA_AR017,LAACA_AR018,LAACA_AR019,LAACA_AR020,LAACA_AR021,LAACA_AR022,LAACA_AR023,LAACA_AR024,LAACA_AR025,LAACA_AR026,LAACA_AR027,LAACA_AR028,LAACA_AR029,LAACA_AR030,LAACA_AR031,LAACA_AR032,LAACA_AR033,LAACA_AR049,LAACA_AR050,LAACA_AR051,LAACA_AR052,LAACA_AR053,LAACA_AR054,LAACA_AR055,LAACA_AR056,LAACA_AR057,LAACA_AR058,LAACA_AR059,LAACA_AR060,LAACA_AR061,LAACA_AR062,LAACA_AR063,LAACA_AR064,LAACA_AR065,LAACA_AR066,LAACA_AR067,LAACA_AR068,LAACA_AR069,LAACA_AR070,LAACA_AR071,LAACA_AR072,LAACA_AR073,LAACA_AR074,LAACA_AR075,LAACA_AR076,LAACA_AR077,LAACA_AR078,LAACA_AR079,LAACA_AR080,LAACA_AR081,LAACA_AR082,LAACA_AR083,LAACA_AR084,LAACA_AR085,LAACA_AR086,LAACA_AR087,LAACA_AR088,LAACA_AR089,LAACA_AR090,LAACA_AR091,LAACA_AR092,LAACA_AR093,LAACA_AR094,LAACA_AR095,LAACA_AR096,LAACA_AR097,LAACA_AR098,LAACA_AR099,LAACA_AR100,LAACA_AR101,LAACA_AR102,LAACA_AR103,LAACA_AR104,LAACA_AR105,LAACA_AR106,LAACA_AR107,LAACA_AR108,LAACA_AR109,LAACA_AR110,LAACA_AR111,LAACA_AR112,LAACA_AR113,LAACA_AR114
E3J2BC1221,,10,负极,反向,137,140,143,50.000,2#,2024-03-18 15:09:49,-87.261,499.865,1,1.5,140.710,10,140.463,140.961,140.650,140.500,140.170,140.530,140.470,140.540,141.090,141.190,141.180,140.810,0.0393,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,11,负极,正向,137,140,143,50.000,2#,2024-03-18 15:09:54,-87.261,499.865,1,1.5,140.830,10,140.601,141.068,140.750,140.680,140.390,140.650,140.530,140.700,141.300,141.320,141.220,140.810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,12,负极,反向,137,140,143,50.000,2#,2024-03-18 15:09:59,-87.261,499.865,1,1.5,140.700,10,140.451,140.952,140.620,140.510,140.250,140.430,140.440,140.560,140.980,141.250,141.170,140.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,13,负极,正向,137,140,143,50.000,2#,2024-03-18 15:10:04,-87.261,499.865,1,1.5,140.830,10,140.609,141.053,140.750,140.690,140.470,140.620,140.520,140.610,141.250,141.190,141.390,140.830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,14,负极,反向,137,140,143,50.000,2#,2024-03-18 15:10:09,-87.261,499.865,1,1.5,140.680,10,140.391,140.972,140.610,140.440,140.100,140.400,140.400,140.560,140.970,141.160,141.210,140.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,15,负极,正向,137,140,143,50.000,2#,2024-03-18 15:10:14,-87.261,499.865,1,1.5,140.830,10,140.596,141.058,140.710,140.740,140.350,140.620,140.560,140.690,141.180,141.260,141.230,140.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,16,负极,反向,137,140,143,50.000,2#,2024-03-18 15:10:19,-87.261,499.865,1,1.5,140.670,10,140.471,140.864,140.720,140.570,140.290,140.620,140.160,140.540,140.920,141.150,141.070,140.640,0,0,0,0,0,0,0,0,0,0,0,-0.0393,-0.0393,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,17,负极,正向,137,140,143,50.000,2#,2024-03-18 15:10:33,-87.327,499.865,1,1.5,140.950,10,140.733,141.163,140.930,140.840,140.570,140.700,140.620,140.840,141.250,141.290,141.410,141.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,18,负极,反向,137,140,143,50.000,2#,2024-03-18 15:10:47,-87.327,499.873,1,1.5,140.700,10,140.440,140.956,140.640,140.460,140.090,140.420,140.580,140.590,141.240,141.170,140.990,140.790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,19,负极,正向,137,140,143,50.000,2#,2024-03-18 15:10:52,-87.327,499.873,1,1.5,140.880,10,140.631,141.136,140.780,140.680,140.390,140.720,140.580,140.720,141.340,141.330,141.300,141.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,20,负极,反向,137,140,143,50.000,2#,2024-03-18 15:10:57,-87.327,499.873,1,1.5,140.740,10,140.524,140.959,140.840,140.540,140.290,140.440,140.510,140.370,141.120,141.220,141.230,140.850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,21,负极,正向,137,140,143,50.000,2#,2024-03-18 15:11:02,-87.327,499.873,1,1.5,140.910,10,140.702,141.116,140.850,140.740,140.570,140.680,140.670,140.750,141.250,141.310,141.290,140.980,0,0,0,0,0,0,0,0,0,0,0,0.0393,0.0393,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,22,负极,反向,137,140,143,50.000,2#,2024-03-18 15:11:07,-87.327,499.873,1,1.5,140.830,10,140.625,141.041,140.850,140.580,140.260,140.720,140.720,140.750,141.160,141.300,141.170,140.840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,23,负极,正向,137,140,143,50.000,2#,2024-03-18 15:11:12,-87.327,499.873,1,1.5,140.880,10,140.652,141.108,140.800,140.660,140.400,140.770,140.630,140.710,141.240,141.350,141.330,140.900,0.0393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,24,负极,反向,137,140,143,50.000,2#,2024-03-18 15:11:17,-87.327,499.873,1,1.5,140.820,10,140.638,140.999,140.840,140.660,140.400,140.720,140.560,140.620,140.970,141.280,141.160,140.970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,25,负极,正向,137,140,143,50.000,2#,2024-03-18 15:11:22,-87.327,499.873,1,1.5,140.900,10,140.647,141.147,140.820,140.730,140.340,140.720,140.630,140.790,141.290,141.370,141.300,140.990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,26,负极,反向,137,140,143,50.000,2#,2024-03-18 15:11:26,-87.327,499.873,1,1.5,140.820,10,140.606,141.039,140.790,140.640,140.330,140.770,140.510,140.680,141.180,141.220,141.200,140.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,27,负极,正向,137,140,143,50.000,2#,2024-03-18 15:11:31,-87.327,499.873,1,1.5,140.950,10,140.720,141.190,140.770,140.860,140.480,140.780,140.710,140.830,141.290,141.370,141.390,141.070,0,0,0,0,0,0,0,0,0,0,0,0.0393,0.0393,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
